   Tempo       Sensor1    Sensor2    Sensor3    Sensor4    Sensor5    Sensor6    Sensor7    Sensor8    Sensor9  
   0000000       000        000        000        000        000        000        000        000        000 
   0000107       230        235        212        248        246        214        238        225        227 
   0000208       230        235        212        248        248        214        238        227        225 
   0000309       230        235        212        248        248        214        238        225        225 
   0000409       230        235        212        248        248        214        238        225        225 
   0000509       230        235        212        248        248        214        238        227        227 
   0000610       230        235        212        248        248        212        238        225        225 
   0000711       230        235        212        248        248        214        236        227        225 
   0000812       230        235        212        248        246        214        238        227        225 
   0000913       230        235        212        248        248        214        238        227        225 
   0001013       230        235        212        248        248        214        238        225        225 
   0001114       230        235        212        248        248        214        238        225        225 
   0001214       230        235        214        248        248        214        238        227        227 
   0001315       230        235        212        248        248        214        238        225        225 
   0001416       230        235        212        248        248        214        238        225        225 
   0001516       230        235        212        248        248        214        238        225        227 
   0001617       230        235        212        248        248        214        238        225        225 
   0001718       230        235        212        248        246        214        238        225        225 
   0001819       230        235        212        248        246        214        238        225        225 
   0001920       230        235        212        248        248        214        238        227        225 
   0002021       230        235        212        248        248        214        238        225        225 
   0002122       230        235        212        248        246        214        238        225        225 
   0002223       230        235        212        248        248        214        238        225        225 
   0002323       230        235        212        248        246        214        238        225        225 
   0002424       230        235        212        248        248        214        238        227        225 
   0002524       230        235        212        248        246        214        238        227        225 
   0002625       230        235        212        248        248        214        238        225        227 
   0002725       230        235        212        248        246        214        238        225        225 
   0002826       230        235        212        248        246        214        238        225        225 
   0002926       230        235        212        248        246        214        238        225        225 
   0003026       230        235        212        248        246        212        238        225        225 
   0003126       230        235        212        248        248        214        238        225        225 
   0003227       230        235        212        248        246        214        238        225        225 
   0003327       230        235        212        248        246        214        236        225        225 
   0003427       230        235        212        248        248        214        238        225        225 
   0003527       230        235        212        248        246        214        238        225        227 
   0003628       230        235        212        248        248        214        236        225        225 
   0003729       230        235        212        248        246        214        238        225        227 
   0003830       230        235        212        248        246        214        238        225        225 
   0003930       230        235        212        248        248        214        238        225        225 
   0004030       230        235        212        248        248        214        236        225        225 
   0004130       230        235        212        248        248        214        238        225        225 
   0004230       230        235        212        248        248        214        238        225        224 
   0004331       230        235        212        246        246        214        238        225        225 
   0004431       230        235        212        248        246        214        238        225        225 
   0004531       230        235        212        248        248        214        238        225        225 
   0004632       230        235        212        248        248        214        238        225        227 
   0004733       230        235        212        248        248        214        238        225        225 
   0004835       230        235        212        248        246        214        238        225        227 
   0004936       230        235        212        248        246        214        236        225        225 
   0005037       230        235        212        248        246        214        238        225        225 
   0005137       230        235        212        248        246        214        238        227        225 
   0005237       228        235        214        248        246        214        238        225        225 
   0005338       230        235        212        248        246        214        238        225        225 
   0005439       230        235        212        248        246        214        238        225        225 
   0005540       230        235        212        246        248        214        238        225        225 
   0005640       230        235        212        248        246        214        238        225        225 
   0005740       230        235        212        246        248        214        238        225        225 
   0005840       230        235        212        248        248        214        238        225        225 
   0005941       230        235        212        248        246        214        238        225        227 
   0006041       230        235        212        248        246        214        238        225        225 
   0006142       230        235        212        246        246        214        238        225        225 
   0006243       228        235        212        246        248        214        238        225        225 
   0006344       230        235        212        248        246        214        236        225        225 
   0006444       230        235        212        248        248        214        238        225        225 
   0006545       230        235        212        246        246        214        236        225        225 
   0006665       228        235        212        248        248        214        238        225        225 
   0006766       230        235        212        246        246        214        236        225        225 
   0006867       230        235        212        248        248        212        236        225        225 
   0006968       228        235        212        248        246        214        238        225        225 
   0007069       228        235        212        246        248        214        238        225        225 
   0007170       230        235        212        246        246        214        238        225        225 
   0007271       230        235        212        246        248        214        238        225        225 
   0007371       228        235        212        246        246        214        238        225        225 
   0007472       230        235        212        246        246        214        238        225        225 
   0007573       228        235        212        248        246        214        238        224        225 
   0007674       230        235        212        248        248        214        236        225        225 
